Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (1999);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
48;16036;Administrative Science Quarterly;journal;00018392, 19303815;9,015;Q1;175;26;76;1831;359;76;3,71;70,42;United States;Northern America;Johnson School at Cornell University;1975-1987, 1989-1990, 1993-1994, 1996-2020;"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
49;15819;Nature Medicine;journal;1546170X, 10788956;8,926;Q1;524;521;1562;7497;14598;930;15,56;14,39;United Kingdom;Western Europe;Nature Publishing Group;1995-2020;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
50;16594;Plant Cell;journal;1532298X, 10404651;8,834;Q1;329;201;534;10669;5604;513;10,23;53,08;United States;Northern America;American Society of Plant Biologists;1989-2020;"Cell Biology (Q1); Plant Science (Q1)"
51;26038;Endocrine Reviews;journal;19457189, 0163769X;8,572;Q1;263;45;120;10901;2074;117;16,09;242,24;United States;Northern America;The Endocrine Society;1980-2020;"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)"
52;12394;Nature Structural and Molecular Biology;journal;15459993, 15459985;8,539;Q1;260;256;701;5536;5209;605;8,67;21,63;United Kingdom;Western Europe;Nature Publishing Group;1998, 2004-2020;"Molecular Biology (Q1); Structural Biology (Q1)"
53;21121;Proceedings of the National Academy of Sciences of the United States of America;journal;10916490, 00278424;8,52;Q1;737;2829;8464;102016;83744;8127;10,05;36,06;United States;Northern America;National Academy of Sciences;1945-1951, 1961-2020;Multidisciplinary (Q1)
54;20206;Academy of Management Review;journal;3637425;8,489;Q1;260;47;100;3550;653;99;5,19;75,53;United States;Northern America;Academy of Management;1978-1987, 1989-1991, 1996-2020;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
55;24202;Review of Economic Studies;journal;00346527, 1467937X;7,939;Q1;133;42;95;1151;212;95;1,88;27,4;United Kingdom;Western Europe;Oxford University Press;1933-1974, 1976-2020;Economics and Econometrics (Q1)
56;18797;Current Opinion in Immunology;journal;9527915;7,932;Q1;186;107;348;4476;3322;312;11,09;41,83;Netherlands;Western Europe;Elsevier Ltd.;1988-2020;"Immunology (Q1); Immunology and Allergy (Q1)"
57;21191;Pharmacological Reviews;journal;15210081, 00316997;7,884;Q1;221;20;57;8938;923;57;15,24;446,9;United States;Northern America;American Society for Pharmacology and Experimental Therapeutics;1949, 1951-2020;"Molecular Medicine (Q1); Pharmacology (Q1)"
58;14992;Current Opinion in Neurobiology;journal;09594388, 18736882;7,857;Q1;222;110;332;5991;2793;305;8,37;54,46;Netherlands;Western Europe;Elsevier Ltd.;1991-2020;Neuroscience (miscellaneous) (Q1)
59;28980;Journal of Economic Perspectives;journal;8953309;7,823;Q1;185;51;146;2228;617;146;4,37;43,69;United States;Northern America;American Economic Association;1992-1994, 1996-2019;Economics and Econometrics (Q1)
60;29709;Reports on Progress in Physics;journal;13616633, 00344885;7,791;Q1;195;31;84;602;652;84;6,8;19,42;United Kingdom;Western Europe;IOP Publishing Ltd.;1934-1942, 1944, 1947, 1949-2020;"Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
61;18605;Molecular Biology of the Cell;journal;10591524, 19394586;7,716;Q1;219;317;605;17945;4487;599;7,15;56,61;United States;Northern America;American Society for Cell Biology;1990-2020;"Cell Biology (Q1); Molecular Biology (Q1)"
62;13467;Psychological Review;journal;19391471, 0033295X;7,7;Q1;204;38;97;4290;892;96;6,84;112,89;United States;Northern America;American Psychological Association Inc.;1894-2020;"History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1)"
63;24668;Journal of the American Mathematical Society;journal;10886834, 08940347;7,435;Q1;87;35;100;988;200;99;1,55;28,23;United States;Northern America;American Mathematical Society;1988-2020;"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)"
64;19900192103;Astrophysical Journal Letters;journal;20418213, 20418205;7,405;Q1;142;35;126;933;940;108;6,64;26,66;United Kingdom;Western Europe;IOP Publishing Ltd.;1991-1993, 1995-2020;"Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
65;15847;New England Journal of Medicine;journal;00284793, 15334406;7,361;Q1;987;1245;3668;19006;32789;1754;18,09;15,27;United States;Northern America;Massachussetts Medical Society;1945-2020;Medicine (miscellaneous) (Q1)
66;20151;Advances in Immunology;journal;00652776, 15578445;7,208;Q1;101;16;74;4720;694;74;8,06;295;United States;Northern America;Academic Press Inc.;1961, 1963-1964, 1966-2020;"Immunology (Q1); Immunology and Allergy (Q1)"
67;71056;MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC;journal;15458636, 15460738;7,182;Q1;95;13;10;0;117;10;6,33;0;United States;Northern America;Centers for Disease Control and Prevention (CDC);2002-2020;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)"
68;21365;Trends in Immunology;journal;14714906, 14714981;7,177;Q1;218;137;434;4903;4801;252;16,61;35,79;Netherlands;Western Europe;Elsevier Ltd.;1987-1990, 1993-1994, 2001-2020;"Immunology (Q1); Immunology and Allergy (Q1)"
69;13174;BioEssays;journal;02659247, 15211878;7,147;Q1;178;137;432;7428;3014;415;7,41;54,22;United States;Northern America;John Wiley and Sons Inc.;1984-2020;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)
70;28773;CA - A Cancer Journal for Clinicians;journal;15424863, 00079235;7,084;Q1;156;32;104;1338;1306;74;19,44;41,81;United States;Northern America;Wiley-Blackwell;1950-2020;"Hematology (Q1); Oncology (Q1)"
71;22657;Accounts of Chemical Research;journal;00014842, 15204898;7,054;Q1;376;121;220;6085;2481;220;10,93;50,29;United States;Northern America;American Chemical Society;1968-2020;"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
72;16764;Journal of Neuroscience;journal;02706474, 15292401;7,05;Q1;440;1105;2653;55813;23715;2630;8,61;50,51;United States;Northern America;Society for Neuroscience;1981-2020;Neuroscience (miscellaneous) (Q1)
73;17436;Nature Neuroscience;journal;10976256, 15461726;7,022;Q1;398;241;155;6756;996;139;7,17;28,03;United Kingdom;Western Europe;Nature Publishing Group;1998-2020;Neuroscience (miscellaneous) (Q1)
74;26688;Recent Progress in Hormone Research;journal;799963;6,812;Q1;76;19;57;313;585;57;9,5;16,47;United States;Northern America;The Endocrine Society;1947-1948, 1956-1958, 1960-1961, 1963-2004;Endocrinology (Q1)
75;14913;Quarterly Reviews of Biophysics;journal;00335835, 14698994;6,794;Q1;94;9;29;1537;292;29;6,84;170,78;United Kingdom;Western Europe;Cambridge University Press;1968-1985, 1987-2020;Biophysics (Q1)
76;14274;Structure;journal;09692126, 18784186;6,698;Q1;175;178;438;7950;3293;432;7,22;44,66;United States;Northern America;Cell Press;1993-2020;"Molecular Biology (Q1); Structural Biology (Q1)"
77;26556;Catalysis Reviews - Science and Engineering;journal;15205703, 01614940;6,64;Q1;98;7;29;1139;302;29;5,72;162,71;United States;Northern America;Taylor and Francis Ltd.;1968-1972, 1974-2020;"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
78;91309;Biochimica et Biophysica Acta - Reviews on Biomembranes;journal;3044157;6,632;Q1;52;10;45;1509;448;44;9,16;150,9;Netherlands;Western Europe;Elsevier BV;1972-2000;"Biophysics (Q1); Cell Biology (Q1)"
79;22324;Organization Science;journal;15265455, 10477039;6,6;Q1;224;43;127;3909;435;127;2,31;90,91;United States;Northern America;INFORMS Institute for Operations Research and the Management Sciences;1996-2019;"Management of Technology and Innovation (Q1); Organizational Behavior and Human Resource Management (Q1); Strategy and Management (Q1)"
80;13550;Journal of Climate;journal;15200442, 08948755;6,462;Q1;270;230;621;8591;2652;621;3,63;37,35;United States;Northern America;American Meteorological Society;1987-1989, 1991-2020;Atmospheric Science (Q1)
81;12074;Bulletin of the American Meteorological Society;journal;15200477, 00030007;6,461;Q1;185;75;265;2627;1238;265;4,09;35,03;United States;Northern America;American Meteorological Society;1972-2020;Atmospheric Science (Q1)
82;19614;Annual Review of Microbiology;journal;00664227, 15453251;6,335;Q1;185;21;72;3270;701;70;8;155,71;United States;Northern America;Annual Reviews Inc.;1948, 1950-1958, 1960, 1962-2019;Microbiology (Q1)
83;16161;Review of Financial Studies;journal;14657368, 08939454;6,273;Q1;174;40;99;1157;211;99;1,95;28,93;United Kingdom;Western Europe;Oxford University Press;1996-2020;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
